Group,Score
C,83.51726853338806
C,50.06187845926601
C,70.4900815229961
C,52.09827303048279
C,61.22454507368453
C,73.71160477573893
C,65.5142401527637
C,56.37804177656555
C,59.27757032592025
C,70.4367819914774
C,59.15706694626291
C,66.7316687166558
C,65.3645747192305
C,59.78719721915346
C,82.1515527146026
C,70.07135217854409
C,48.798859306739146
C,66.49163451815542
C,59.70570828185289
C,71.81946667836979
C,58.6598340925384
C,64.0821084682648
C,69.03989823184365
C,71.92604155336097
C,55.39762874355379
C,62.323990113272416
C,61.20043751071235
C,59.77336613941031
C,79.12363392224877
C,68.23985368768764
C,54.91292836531964
C,72.34289557643821
C,81.97724957610106
C,73.25972208440918
C,52.845040272367896
C,61.12612741706999
C,75.13528919349298
C,59.33864427504975
C,68.55055542516983
C,71.19707242743469
C,57.58455622737534
C,64.5237971515056
C,39.06986127944742
C,56.80489886932568
C,62.97945478885472
C,55.017734544281204
C,78.05929043145308
C,53.55886897631494
C,61.47964410642413
C,66.04592461828874
C,76.53018631252893
C,53.51310279056449
C,74.30531001723968
C,65.0818644881567
C,57.14793079161639
C,68.69682779410617
C,66.59247756458777
C,60.19826498272964
C,65.55841667992016
C,61.91749122510592
C,65.90813876200998
C,70.29704539616837
C,77.68813452916282
C,55.097476009385204
C,82.06426699725013
C,49.38329760381998
C,63.785719239715334
C,69.70653765187662
C,67.24793494188026
C,60.01840384143525
C,63.335021997141794
C,61.05599252272933
C,60.285081944446304
C,71.7968167761682
C,67.85612388772037
C,59.456723237914765
C,72.19679900346601
C,67.45839616701288
C,71.50289695071169
C,70.0370307353889
