t,value
2020-04-10,1.671675321198879
2020-04-11,3.3638941769551205
2020-04-12,3.803703560863154
2020-04-13,4.663385709280436
2020-04-14,5.732509165407208
2020-04-15,5.559294074063055
2020-04-16,5.3644253010982075
2020-04-17,5.216063995120382
2020-04-18,3.278218330752388
2020-04-19,2.2221604464982434
2020-04-20,2.874891732924462
2020-04-21,4.255798597279096
2020-04-22,3.294473732935992
2020-04-23,2.8761544194290334
2020-04-24,2.663326269545969
2020-04-25,2.0731350363661933
2020-04-26,1.9673610324853428
2020-04-27,1.9342872883444222
2020-04-28,2.176036363814581
2020-04-29,3.3991088795507522
2020-04-30,4.080101398885323
2020-05-01,3.888323414326841
2020-05-02,5.099520291833633
2020-05-03,5.935395852076474
2020-05-04,5.099890081409965
2020-05-05,2.825832287333728
2020-05-06,0.7859869880053552
2020-05-07,1.1668897663517321
2020-05-08,0.6764923131546581
2020-05-09,-0.7189866182894141
2020-05-10,-1.7364968121635103
2020-05-11,-2.3798158924963886
2020-05-12,-1.32815877105114
2020-05-13,-0.8790100255102877
2020-05-14,-2.1382794510205465
2020-05-15,-2.228528503173843
2020-05-16,-1.54813871098589
2020-05-17,-1.628941377250267
2020-05-18,-0.3390027621838543
2020-05-19,-0.22978706176228808
2020-05-20,0.756132482950406
2020-05-21,1.6450238406901614
2020-05-22,2.4813376924665267
2020-05-23,1.2571615163845893
2020-05-24,0.6646190690232161
2020-05-25,0.5181913275390448
2020-05-26,-1.028584664706205
2020-05-27,-0.28660961192506784
2020-05-28,-0.6046642945262403
2020-05-29,-1.420259623219915
2020-05-30,-2.3933506657080508
2020-05-31,-1.618820540735158
2020-06-01,-2.540511620932573
2020-06-02,-2.024906383790529
2020-06-03,-0.32826120060313524
2020-06-04,0.6923750616406366
2020-06-05,1.4813999042092427
2020-06-06,2.2297177864840085
2020-06-07,1.13816849029266
2020-06-08,1.9655000412081662
2020-06-09,1.686217770698772
2020-06-10,1.0985560973156463
2020-06-11,0.5196525124655693
2020-06-12,0.774209203509381
2020-06-13,0.27794696802100627
2020-06-14,0.07405840139920475
2020-06-15,-1.1493308063316938
2020-06-16,-0.24893696342218546
2020-06-17,0.9374574586130837
2020-06-18,0.7260025833687789
2020-06-19,-0.005250868091495026
2020-06-20,0.4527679398341765
2020-06-21,-0.0872277302415419
2020-06-22,-0.22733422068244924
2020-06-23,1.0296775371915143
2020-06-24,0.4770444255885815
2020-06-25,0.4257335219361911
2020-06-26,0.8037524161325262
2020-06-27,0.6719552210175352
2020-06-28,-0.005160134754981574
2020-06-29,1.0091531154488251
2020-06-30,0.695672679349848
2020-07-01,-1.4945282119565282
2020-07-02,-1.2799045383860368
2020-07-03,-1.96901354382425
2020-07-04,-1.3638510301114466
2020-07-05,0.5205748816963216
2020-07-06,1.5801710828931093
2020-07-07,2.5874481195614485
2020-07-08,4.5185721233338025
2020-07-09,5.389637804047847
2020-07-10,5.028987820907292
2020-07-11,5.789367797299656
2020-07-12,7.039849056095768
2020-07-13,8.10256124607467
2020-07-14,6.697414194967502
2020-07-15,3.8070555913971966
2020-07-16,1.950844946283509
2020-07-17,2.0430406994460277
2020-07-18,2.075048151206198
2020-07-19,1.5172211139209537
2020-07-20,1.6916658958709594
2020-07-21,0.10672019454547468
2020-07-22,-0.3617765783413859
2020-07-23,0.8855041016513847
2020-07-24,1.705101983818487
2020-07-25,2.2756176667118098
2020-07-26,3.6945908520554545
2020-07-27,3.5284785127517027
2020-07-28,2.1432338349015594
2020-07-29,2.6428654460461547
2020-07-30,3.761219004936868
2020-07-31,4.035715131118862
2020-08-01,3.29151777421496
2020-08-02,2.570445470146974
2020-08-03,0.7801352843896867
2020-08-04,1.2263455768665175
2020-08-05,2.503906383105239
2020-08-06,1.1225028798290646
2020-08-07,1.240961287582674
2020-08-08,1.7439235186376023
2020-08-09,0.5348053665228887
2020-08-10,-1.186945552010477
2020-08-11,-1.0584632526356472
2020-08-12,-1.0950774082547468
2020-08-13,0.7848052783831058
2020-08-14,2.3084221575752593
2020-08-15,2.7014702206519976
2020-08-16,2.8737324352168834
2020-08-17,3.8390847301416327
2020-08-18,4.450132747987511
2020-08-19,4.398479873576966
2020-08-20,2.738429297962472
2020-08-21,4.860585933257192
2020-08-22,4.010064775460008
2020-08-23,2.454235980344549
2020-08-24,0.18364341302557588
2020-08-25,0.02382157862572376
2020-08-26,0.38568696369309136
2020-08-27,1.1342701842331562
2020-08-28,-0.5255389083720049
2020-08-29,-0.003151711758445863
2020-08-30,-0.3647945039239986
2020-08-31,-0.7638149630909101
2020-09-01,0.2609172184627902
2020-09-02,0.8426289663745574
2020-09-03,1.1105524034192695
2020-09-04,1.8203977653075605
2020-09-05,2.2047803801469326
2020-09-06,1.5942326575443184
