cluster,observation,X,treatment,y
C_20,1,5.139604169980037,1,0
C_20,2,4.22937280627648,0,0
C_20,3,9.266066749312532,1,1
C_20,4,1.0958244009549962,1,0
C_21,0,3.754600960358812,0,1
C_21,1,3.8212704861115765,0,1
C_21,2,6.69920419404205,1,1
C_21,3,6.62572423767792,0,1
C_21,4,6.259257683847224,1,1
C_22,0,5.234654766617564,0,1
C_22,1,6.094194762340075,1,1
C_22,2,4.595614695132212,1,1
C_22,3,7.610957614308658,0,1
C_22,4,5.042007683265518,0,1
C_23,0,4.739713891264631,1,1
C_23,1,3.3635586335330547,0,1
C_23,2,9.184774551370921,1,1
C_23,3,6.24823963410431,0,1
C_23,4,6.25669101852856,0,1
C_24,0,4.705885236995723,0,1
C_24,1,5.825862908551249,1,1
C_24,2,3.87255089439205,0,1
C_24,3,4.057923388763355,0,0
C_24,4,5.464099874715273,0,1
C_25,0,4.573105696576306,1,1
C_25,1,6.7153192464040385,0,1
C_25,2,4.680122940073145,0,0
C_25,3,5.645437120676179,1,1
C_25,4,3.345538112895354,1,0
C_26,0,4.197559056228328,0,0
C_26,1,5.448184963620833,0,1
C_26,2,5.02518480156359,1,1
C_26,3,7.902287215590084,0,1
C_26,4,6.918541652170414,1,1
C_27,0,3.383403429289697,0,1
C_27,1,0.7522085513803862,1,1
C_27,2,3.948489956638478,1,1
C_27,3,5.683511951554319,0,1
C_27,4,8.752341678431772,1,1
C_28,0,8.662917531708707,1,0
C_28,1,7.358880241442574,1,0
C_28,2,4.06164869579059,1,0
C_28,3,4.770920309494764,0,0
C_28,4,7.4756326239469235,0,1
C_29,0,5.093961187529484,1,0
C_29,1,4.099869057041513,0,1
C_29,2,6.2456998646949975,1,1
C_29,3,6.423229756177779,1,1
C_29,4,2.750715816324262,0,0
C_30,0,5.231349268585717,1,1
C_30,1,9.121495849763974,1,1
C_30,2,8.510681684886409,0,1
C_30,3,6.290751899170295,1,1
C_30,4,7.737263115064698,0,1
C_31,0,1.4825210271537714,0,1
C_31,1,4.461186331110885,1,1
C_31,2,6.435084511591924,0,1
C_31,3,1.5932351212896907,0,0
C_31,4,4.888904602206763,0,1
C_32,0,6.339345097660077,0,0
C_32,1,5.733196492193697,0,0
C_32,2,3.1202404273452897,1,0
C_32,3,3.0285479073289125,0,0
C_32,4,6.008093031035688,0,0
C_33,0,2.929515355161252,0,1
C_33,1,8.929450265832779,0,1
C_33,2,5.070527103943458,1,1
C_33,3,4.775343900618341,1,1
C_33,4,4.558060800933555,0,1
C_34,0,0.39615767052883033,1,0
C_34,1,8.289935427002568,0,1
C_34,2,4.501927920887243,1,0
C_34,3,11.157761616910475,0,1
C_34,4,7.2391498228691535,1,1
C_35,0,2.1554925808046517,0,0
C_35,1,3.7068542315149466,0,1
C_35,2,2.8369039927712096,1,0
C_35,3,4.9840547173667655,0,0
C_35,4,7.959888277780053,1,1
C_36,0,4.619322643832784,0,0
C_36,1,6.852355095063283,0,1
C_36,2,8.818833280940261,1,1
C_36,3,3.6987148617563457,0,0
C_36,4,4.0257492324706075,0,1
C_37,0,3.3380997671779244,0,0
C_37,1,4.522103906267181,1,1
C_37,2,3.1848726759168042,1,1
C_37,3,6.0018343752487615,1,1
C_37,4,3.044889510402898,1,1
C_38,0,6.141197337186319,0,1
C_38,1,1.7449151242336747,0,0
C_38,2,5.096169893322764,0,0
C_38,3,4.867840402705367,1,1
C_38,4,2.577967600475087,0,0
C_39,0,3.8462162609537023,0,1
C_39,1,6.059608355830566,0,1
C_39,2,7.883137241315801,0,1
C_39,3,5.742291746742618,1,1
C_39,4,3.792029626568359,0,1
C_40,0,5.508841686602426,0,1
C_40,1,4.024787551855013,0,1
C_40,2,4.134883624360758,1,1
C_40,3,6.742249406863385,0,1
C_40,4,4.347952935664318,0,1
C_41,0,4.296973031917383,1,0
C_41,1,5.653854747528325,0,0
C_41,2,4.561798942382271,1,0
C_41,3,2.042827508440317,0,0
C_41,4,7.287508086413858,1,0
C_42,0,5.496441172600672,0,1
C_42,1,6.660671633088491,0,1
C_42,2,3.2878323481822656,1,1
C_42,3,7.075079888515798,0,1
C_42,4,3.9799672022905055,0,1
C_43,0,5.754600986089704,0,0
C_43,1,6.73921184021132,1,1
C_43,2,7.711275717609902,0,1
C_43,3,1.4425595021914428,0,1
C_43,4,7.9920886229783665,0,1
C_44,0,5.258442363950455,0,1
C_44,1,5.218789589209786,1,1
C_44,2,6.451533247797385,1,1
C_44,3,8.764048992950068,0,1
C_44,4,7.690840092309955,1,1
C_45,0,4.748426159800704,1,1
C_45,1,5.111449824577389,1,0
C_45,2,7.188383036941897,0,0
C_45,3,2.9757912494796646,1,1
C_45,4,1.6902866562684604,0,0
C_46,0,8.338043050578786,0,1
C_46,1,4.508513871828112,0,1
C_46,2,4.454552860504659,1,1
C_46,3,8.69791218989069,0,1
C_46,4,7.253130059095515,0,0
C_47,0,2.7869481825166598,0,1
C_47,1,10.14671960649972,0,1
C_47,2,5.118436868028977,0,0
C_47,3,3.8526759862395275,0,1
C_47,4,3.9062821175192157,1,1
C_48,0,8.007985977165376,1,1
C_48,1,7.492170384995259,0,1
C_48,2,0.8532195351837011,1,1
C_48,3,2.1849766105643575,1,1
C_48,4,3.444366624818249,0,0
C_49,0,7.543110189988317,0,1
C_49,1,6.44334412808647,0,1
C_49,2,2.741896457565542,1,1
C_49,3,2.5557443822161092,0,1
C_49,4,6.425996860344776,1,1
